start;f0
0;0
0.0058049887;0
0.0116099773;0
0.017414966;0
0.0232199546;0
0.0290249433;0
0.034829932;0
0.0406349206;0
0.0464399093;0
0.052244898;0
0.0580498866;0
0.0638548753;0
0.0696598639;0
0.0754648526;0
0.0812698413;0
0.0870748299;0
0.0928798186;0
0.0986848073;0
0.1044897959;0
0.1102947846;0
0.1160997732;0
0.1219047619;0
0.1277097506;0
0.1335147392;0
0.1393197279;0
0.1451247166;0
0.1509297052;0
0.1567346939;0
0.1625396825;0
0.1683446712;0
0.1741496599;0
0.1799546485;0
0.1857596372;0
0.1915646259;0
0.1973696145;0
0.2031746032;0
0.2089795918;0
0.2147845805;0
0.2205895692;0
0.2263945578;0
0.2321995465;0
0.2380045351;0
0.2438095238;0
0.2496145125;0
0.2554195011;0
0.2612244898;0
0.2670294785;0
0.2728344671;0
0.2786394558;0
0.2844444444;0
0.2902494331;0
0.2960544218;0
0.3018594104;0
0.3076643991;0
0.3134693878;0
0.3192743764;0
0.3250793651;0
0.3308843537;0
0.3366893424;0
0.3424943311;0
0.3482993197;0
0.3541043084;0
0.3599092971;0
0.3657142857;0
0.3715192744;0
0.377324263;0
0.3831292517;0
0.3889342404;0
0.394739229;0
0.4005442177;0
0.4063492063;0
0.412154195;0
0.4179591837;0
0.4237641723;0
0.429569161;0
0.4353741497;0
0.4411791383;0
0.446984127;0
0.4527891156;0
0.4585941043;0
0.464399093;0
0.4702040816;0
0.4760090703;0
0.481814059;0
0.4876190476;0
0.4934240363;0
0.4992290249;0
0.5050340136;0
0.5108390023;0
0.5166439909;0
0.5224489796;330.034
0.5282539683;322.254
0.5340589569;329.178
0.5398639456;324.418
0.5456689342;322.722
0.5514739229;321.134
0.5572789116;316.325
0.5630839002;315.039
0.5688888889;314.594
0.5746938776;315.462
0.5804988662;315.213
0.5863038549;314.21
0.5921088435;313.367
0.5979138322;311.383
0.6037188209;309.984
0.6095238095;308.621
0.6153287982;307.343
0.6211337868;308.689
0.6269387755;309.48
0.6327437642;311.881
0.6385487528;315.739
0.6443537415;316.356
0.6501587302;318.421
0.6559637188;319.311
0.6617687075;320.354
0.6675736961;320.492
0.6733786848;320.424
